Age,YearsProgram,Currency,HaveWorkedLanguage,WantWorkLanguage,Salary
,10 to 11 years,Chinese yuan renminbi (¥),Groovy; Java; JavaScript; Scala; SQL,Go; Java; JavaScript; Python; Scala; SQL,40697.67442
,1 to 2 years,NA,C#; Java; JavaScript; PHP; TypeScript,NA,NA
,1 to 2 years,Indian rupees (?),C,NA,NA
,12 to 13 years,Swedish kroner (SEK),Groovy; Java,Clojure; Go; Groovy; Java,70588.23529
,9 to 10 years,U.S. dollars ($),JavaScript; Python; SQL,JavaScript; Python,3.30E+04
,9 to 10 years,NA,NA,NA,NA
,19 to 20 years,NA,C; C++; Java; JavaScript; Python; VBA,Go; SQL,NA
,5 to 6 years,NA,NA,NA,NA
,3 to 4 years,Euros (€),Java; JavaScript; PHP,C; CoffeeScript; Java; JavaScript; PHP; Ruby; SQL,NA
,20 or more years,NA,NA,NA,NA
,20 or more years,NA,C#; JavaScript; SQL,C#; JavaScript; Perl; Python; SQL,NA
,3 to 4 years,Chinese yuan renminbi (¥),JavaScript; PHP; TypeScript,Python,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,Euros (€),C#; JavaScript; SQL,C; C#; F#; JavaScript; SQL,58064.51613
,Less than a year,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C++; Java; Python,Assembly; C++,3.60E+04
,20 or more years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,NA,NA,NA,NA,NA
,20 or more years,NA,JavaScript; PHP,JavaScript; Ruby,NA
,7 to 8 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,8 to 9 years,NA,C; Haskell; Java; Python; R,Go; Java,NA
,2 to 3 years,Euros (€),C#; JavaScript,JavaScript; Scala,43010.75269
,6 to 7 years,Euros (€),JavaScript; SQL,JavaScript; TypeScript,34408.60215
,8 to 9 years,NA,C#; JavaScript; SQL,C#; F#; JavaScript; Python; TypeScript,NA
,20 or more years,Euros (€),C++; Java; JavaScript,Java; JavaScript,NA
,8 to 9 years,NA,C#; Java; JavaScript; PHP; SQL; VB.NET,Java; JavaScript; PHP; SQL,9917.355372
,10 to 11 years,NA,NA,NA,NA
,5 to 6 years,Russian rubles (?),C#; JavaScript,C#; Java; JavaScript,9189.640769
,9 to 10 years,NA,NA,NA,NA
,1 to 2 years,Indian rupees (?),Python; SQL,C; JavaScript; Python; SQL,NA
,3 to 4 years,Chinese yuan renminbi (¥),Java; Python,Java,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,NA,C++; JavaScript; Objective-C; Python; Swift,C++; Lua; Swift,NA
,11 to 12 years,NA,NA,NA,NA
,1 to 2 years,Indian rupees (?),C; C++; Python,Common Lisp; Matlab; Perl; PHP; Ruby; Scala; SQL,NA
,20 or more years,NA,NA,NA,NA
,13 to 14 years,NA,Java; Objective-C; SQL,NA,NA
,1 to 2 years,NA,Python,JavaScript; Ruby; Swift,NA
,13 to 14 years,U.S. dollars ($),JavaScript; PHP; Ruby,Elixir,NA
,2 to 3 years,Swiss francs,Assembly; C++; C#; Java; JavaScript; PHP; SQL,C++; F#; Java; JavaScript; SQL,NA
,14 to 15 years,NA,NA,NA,NA
,6 to 7 years,NA,Assembly; C; C++; C#; Java; R,C#; JavaScript,NA
,1 to 2 years,NA,NA,NA,NA
,4 to 5 years,NA,C++; Java; JavaScript; PHP; SQL,Groovy; Java; JavaScript; PHP; Ruby; SQL,NA
,17 to 18 years,Euros (€),JavaScript; PHP; SQL,Go; JavaScript; PHP; Rust; SQL,NA
,2 to 3 years,NA,Python; SQL,C#; Python; SQL,NA
,20 or more years,NA,NA,NA,NA
,15 to 16 years,NA,NA,NA,NA
,3 to 4 years,NA,Assembly; C++; C#; Java; SQL; VBA,Java; SQL,NA
,7 to 8 years,Indian rupees (?),Objective-C; PHP,Objective-C; Swift,NA
,6 to 7 years,NA,Matlab; PHP; VBA,C#; Matlab; PHP; Python; VBA; Visual Basic 6,NA
,9 to 10 years,Euros (€),C#; Java; JavaScript; PHP; SQL; VBA; Visual Basic 6,C#; Java; SQL,39139.78495
,9 to 10 years,Euros (€),PHP; Python,Java; PHP,42150.53763
,5 to 6 years,NA,Assembly; C; C++; Groovy; Java; JavaScript; Matlab; Perl; Python; SQL,NA,NA
,5 to 6 years,Euros (€),Java; JavaScript; PHP; Python,C++; JavaScript; PHP; Python,NA
,6 to 7 years,Indian rupees (?),Java; JavaScript; Perl; PHP; SQL,Go; Python,7047.423286
,20 or more years,NA,Assembly; C; Python; SQL,Assembly; C; Python; Rust,NA
,12 to 13 years,NA,C++; C#; Java; JavaScript; Perl; PHP; Python; R; SQL; Swift; VB.NET; VBA,C++; Scala; Swift,NA
,5 to 6 years,NA,NA,NA,NA
,5 to 6 years,Euros (€),Python; Ruby,NA,43010.75269
,12 to 13 years,NA,NA,NA,NA
,4 to 5 years,British pounds sterling (£),Java; Python,C; C#; Python,46875
,20 or more years,British pounds sterling (£),C#; F#; TypeScript,C#; F#; TypeScript,NA
,4 to 5 years,NA,NA,NA,NA
,10 to 11 years,British pounds sterling (£),C++; C#; Java; JavaScript,C#; Java; JavaScript,33750
,19 to 20 years,NA,C++; C#,C++; Java,7008.086253
,1 to 2 years,NA,NA,NA,NA
,17 to 18 years,NA,NA,NA,NA
,20 or more years,Euros (€),Java; JavaScript; SQL,Java; Scala; TypeScript,60215.05376
,7 to 8 years,Euros (€),Assembly; C; C++; C#; JavaScript; PHP; Python; R; SQL,C; C++; JavaScript; Python; R; SQL; Swift,NA
,4 to 5 years,NA,NA,NA,NA
,2 to 3 years,Euros (€),C++; C#; Java; SQL,C++; C#; Java; SQL; TypeScript,19354.83871
,4 to 5 years,British pounds sterling (£),C++; VB.NET; VBA,C++; C#; JavaScript; SQL; VB.NET,NA
,7 to 8 years,Swiss francs,C#,C#,8.00E+04
,13 to 14 years,NA,JavaScript; PHP; SQL,CoffeeScript,NA
,20 or more years,Swedish kroner (SEK),C#; JavaScript; SQL,C#; F#; JavaScript; TypeScript,73529.41176
,NA,NA,NA,NA,NA
,5 to 6 years,Swiss francs,C#; Java; PHP; SQL,Go; Java,NA
,14 to 15 years,NA,C#; JavaScript,C#; JavaScript,NA
,10 to 11 years,NA,NA,NA,NA
,12 to 13 years,NA,C; Python,C; Python,NA
,20 or more years,Euros (€),CoffeeScript; JavaScript; Ruby; SQL,Elixir; JavaScript; Ruby; SQL,97674.19355
,3 to 4 years,Indian rupees (?),Java,NA,2848.333578
,20 or more years,Euros (€),C; C++; C#; Java; JavaScript; PHP; Python; SQL; VBA; Visual Basic 6,Assembly; JavaScript; Objective-C; Perl; PHP; Python,NA
,Less than a year,NA,PHP,C; C++; C#; Hack; Java; JavaScript; Python; SQL,NA
,20 or more years,NA,Assembly; C; Java; JavaScript; Python,Assembly; C; Java; JavaScript; Python,NA
,1 to 2 years,NA,Java,C#; Java,NA
,3 to 4 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,11 to 12 years,Euros (€),C#; Java; JavaScript,C#; Java,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,NA,Python; R; Ruby; SQL,Julia; Python; R; Scala; SQL,NA
,20 or more years,NA,Assembly; C; C++; C#; Erlang; Go; Lua; Python,NA,NA
,20 or more years,Euros (€),C; C++; Python,C; C++; Common Lisp; JavaScript; Matlab; Python,NA
,4 to 5 years,NA,NA,NA,NA
,2 to 3 years,NA,C; Groovy; Java; Perl; PHP; Python; Ruby; SQL,Python,NA
,3 to 4 years,Euros (€),Assembly; C; C#; Java; JavaScript; SQL,C#; Java; JavaScript; PHP; Python; SQL,731.1827957
,10 to 11 years,Euros (€),C; C++; JavaScript; Objective-C; Python; Ruby; Swift,Elixir; Rust; Scala,64516.12903
,4 to 5 years,British pounds sterling (£),C#; JavaScript,C#; JavaScript; Python; SQL; TypeScript,36250
,2 to 3 years,NA,JavaScript; Matlab; Python; R; SQL; Visual Basic 6,C++; Java,NA
,8 to 9 years,Euros (€),JavaScript; Python; Ruby; SQL,CoffeeScript; Go; Java; Rust,13978.49462
,3 to 4 years,Euros (€),C; C#; Java; JavaScript; PHP; SQL; TypeScript; VBA,C++; JavaScript; PHP; SQL; TypeScript,2150.537634
,1 to 2 years,NA,C#; Python,NA,NA
,7 to 8 years,Euros (€),C++; C#; Python; Ruby; Swift,NA,36290.32258
,20 or more years,NA,NA,NA,NA
,3 to 4 years,NA,Ruby,PHP,NA
,11 to 12 years,Indian rupees (?),Java; JavaScript,Java; JavaScript,NA
,2 to 3 years,Euros (€),Java; JavaScript,C#; Java,12903.22581
,4 to 5 years,NA,Assembly; C; C#; Clojure; Go; Java; JavaScript; Lua; Objective-C; PHP; Python; SQL,NA,NA
,4 to 5 years,NA,NA,NA,NA
,5 to 6 years,NA,C++; C#; Java; JavaScript; TypeScript,C#; JavaScript; TypeScript,NA
,20 or more years,NA,NA,NA,NA
,Less than a year,British pounds sterling (£),NA,NA,NA
,6 to 7 years,NA,C++; Java; JavaScript; R; Ruby; SQL,Java; JavaScript; Ruby,NA
,Less than a year,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,2 to 3 years,Indian rupees (?),C; C++; Java; Visual Basic 6,C; C#; Java; Visual Basic 6,NA
,11 to 12 years,NA,NA,NA,NA
,3 to 4 years,Indian rupees (?),NA,NA,NA
,Less than a year,NA,NA,NA,NA
,7 to 8 years,Indian rupees (?),NA,NA,NA
,9 to 10 years,Indian rupees (?),NA,C; C#; Matlab; SQL; VB.NET; Visual Basic 6,NA
,4 to 5 years,NA,JavaScript,Python,NA
,3 to 4 years,NA,Java,NA,NA
,8 to 9 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,6 to 7 years,NA,C++; Java; Python,R,NA
,13 to 14 years,Indian rupees (?),SQL; Visual Basic 6,R; SQL,315.6658347
,7 to 8 years,NA,CoffeeScript; JavaScript; TypeScript,Haskell; JavaScript; TypeScript,NA
,3 to 4 years,U.S. dollars ($),NA,NA,NA
,7 to 8 years,Euros (€),C++; Matlab,C++; Python,37634.4086
,19 to 20 years,NA,NA,NA,NA
,20 or more years,Russian rubles (?),C++; Java; Python,C++; Python; Rust,34085.21303
,7 to 8 years,U.S. dollars ($),C; C++; C#; JavaScript; PHP; Python; SQL,Rust,NA
,12 to 13 years,NA,Java; JavaScript; SQL; Swift,Java; JavaScript; SQL; Swift; TypeScript,NA
,19 to 20 years,NA,Haskell; Java; JavaScript; Python,Haskell; Java; Python; Scala,NA
,7 to 8 years,Euros (€),JavaScript; PHP; SQL,JavaScript; PHP; SQL,33548.3871
,1 to 2 years,NA,NA,NA,NA
,Less than a year,U.S. dollars ($),C#; JavaScript; PHP; Python; SQL; VB.NET,Assembly; C++; CoffeeScript; Go; Java; JavaScript; Objective-C; PHP; Python; SQL,NA
,8 to 9 years,NA,NA,NA,NA
,Less than a year,NA,NA,NA,NA
,7 to 8 years,Swiss francs,C++; Go; Objective-C; Swift,C++; Go; Swift,5.40E+04
,16 to 17 years,NA,NA,NA,NA
,4 to 5 years,NA,C; C++; Java; JavaScript; Objective-C,C++; Objective-C; PHP,NA
,11 to 12 years,NA,C#; Java; JavaScript; SQL,C#; Java; JavaScript; SQL,NA
,3 to 4 years,NA,NA,NA,NA
,2 to 3 years,NA,Java; SQL,C#; Java; SQL,NA
,5 to 6 years,Polish zloty (zl),C++; Python; SQL,C; C++; Go; JavaScript; Python; SQL,NA
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,Objective-C; Swift,Objective-C; Swift,17736.22521
,5 to 6 years,NA,C++; C#; JavaScript; PHP; Python; SQL,Java; TypeScript,NA
,1 to 2 years,Euros (€),C#; Java; JavaScript; Lua; Objective-C; PHP; Python; SQL; VB.NET; VBA; Visual Basic 6,C++,18817.2043
,4 to 5 years,NA,C; C#; Java; JavaScript; PHP,C++; C#,NA
,2 to 3 years,Indian rupees (?),NA,NA,NA
,19 to 20 years,NA,JavaScript; PHP; SQL; VBA,JavaScript; PHP; SQL; VBA,NA
,6 to 7 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,NA,NA,NA
,1 to 2 years,Indian rupees (?),C; Objective-C,C; Objective-C; Swift,5285.567464
,5 to 6 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,9 to 10 years,NA,C#; Java; JavaScript; SQL,Go; Python,NA
,15 to 16 years,NA,C; C++; SQL,C; C++; Java; Python; SQL,NA
,12 to 13 years,Russian rubles (?),Java; JavaScript,Java; JavaScript,16708.43776
,3 to 4 years,NA,NA,NA,NA
,10 to 11 years,NA,JavaScript; PHP; Swift,JavaScript; Swift,NA
,20 or more years,NA,JavaScript; Python,JavaScript; Python,NA
,3 to 4 years,NA,NA,NA,NA
,4 to 5 years,Indian rupees (?),Java; JavaScript,Java; JavaScript,NA
,20 or more years,NA,NA,NA,NA
,3 to 4 years,Indian rupees (?),JavaScript; PHP; SQL,Java; JavaScript; Python; SQL,NA
,3 to 4 years,NA,C; Java,Java,NA
,6 to 7 years,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,16 to 17 years,NA,NA,NA,NA
,6 to 7 years,Polish zloty (zl),C#; SQL,C++; C#; Python; SQL,1728.395062
,4 to 5 years,NA,PHP; Python,Python,NA
,9 to 10 years,Polish zloty (zl),NA,NA,NA
,11 to 12 years,U.S. dollars ($),JavaScript; PHP,NA,2.50E+04
,7 to 8 years,Russian rubles (?),NA,NA,NA
,9 to 10 years,NA,C; C#; JavaScript; SQL,C#; JavaScript; PHP; Ruby; SQL,NA
,10 to 11 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,5 to 6 years,Bitcoin (btc),Groovy; Haskell,Groovy; Java,NA
,15 to 16 years,Russian rubles (?),Java; JavaScript; Scala; SQL,Java; SQL,NA
,8 to 9 years,Euros (€),C; C++; C#; Groovy; Java; Lua; Python; Rust; Scala,C; C#; F#; Python; Rust; Scala,NA
,20 or more years,Euros (€),Perl; SQL,Assembly; C; C++; Erlang; Perl; SQL,55483.87097
,20 or more years,NA,NA,NA,NA
,9 to 10 years,Russian rubles (?),C++; C#; Python,C++; C#; Python,NA
,2 to 3 years,Indian rupees (?),Assembly; C; C++,C++,NA
,7 to 8 years,Euros (€),C#; Java; PHP; SQL,Assembly; C; C++; C#; Java; SQL,NA
,2 to 3 years,NA,NA,NA,NA
,6 to 7 years,South African rands (R),Java; JavaScript; PHP; Python; SQL,C++; Go; Swift,29398.6637
,17 to 18 years,NA,NA,NA,NA
,10 to 11 years,NA,NA,NA,NA
,15 to 16 years,Euros (€),C++,Rust; Scala,48387.09677
,20 or more years,Euros (€),C; C++; Java; JavaScript; Python,C; C++; Dart; Erlang; Go; Python; Rust,43010.75269
,15 to 16 years,NA,JavaScript,C#,NA
,3 to 4 years,Indian rupees (?),JavaScript; PHP; SQL; TypeScript,C; C++; C#; CoffeeScript; Objective-C,NA
,2 to 3 years,NA,C,C; Python,NA
,14 to 15 years,Euros (€),C#; JavaScript; PHP; SQL,C++; SQL,21505.37634
,10 to 11 years,Swedish kroner (SEK),Assembly; C; C++; JavaScript; PHP; Python; SQL,Assembly; C; C++; JavaScript; PHP; Python; SQL,2941.176471
,8 to 9 years,NA,NA,NA,NA
,18 to 19 years,Euros (€),JavaScript; PHP; Python; SQL,Java; JavaScript; PHP; Python; SQL; TypeScript,37634.4086
,1 to 2 years,NA,NA,NA,NA
,12 to 13 years,Brazilian reais (R$),JavaScript; Rust,Elixir; Java,38216.56051
,6 to 7 years,NA,NA,NA,NA
,20 or more years,Euros (€),CoffeeScript; Groovy; Java; JavaScript; SQL,Go; Groovy; Java; Rust; SQL,25806.45161
,9 to 10 years,NA,NA,NA,NA
,20 or more years,Canadian dollars (C$),Java; JavaScript; PHP; Python; Ruby; SQL,Assembly; C#; Go; Java; JavaScript; PHP; Python; SQL; Swift,37878.78788
,6 to 7 years,NA,NA,NA,NA
,6 to 7 years,U.S. dollars ($),C; C++; C#; Java; JavaScript; Objective-C; PHP; SQL,C; C++; C#; Java; JavaScript; Objective-C; PHP; SQL,NA
,4 to 5 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,19 to 20 years,U.S. dollars ($),C#; JavaScript; SQL,C#; F#; JavaScript; SQL; TypeScript,9.00E+03
,14 to 15 years,NA,NA,NA,NA
,14 to 15 years,Swiss francs,C++; Python,Java; JavaScript; Ruby; TypeScript,NA
,5 to 6 years,U.S. dollars ($),Java,Java,3.30E+04
,12 to 13 years,NA,C#; SQL; VB.NET; VBA; Visual Basic 6,C#; SQL; VB.NET; VBA; Visual Basic 6,NA
,15 to 16 years,Euros (€),Java; JavaScript; PHP; Python; Ruby; SQL; TypeScript,C; C++; TypeScript,15376.34409
,4 to 5 years,NA,Swift,Go,NA
,9 to 10 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,3 to 4 years,Euros (€),C#; JavaScript; PHP; SQL,NA,1075.268817
,15 to 16 years,Euros (€),Go; Java; JavaScript,NA,NA
,15 to 16 years,NA,NA,NA,NA
,4 to 5 years,Euros (€),JavaScript; PHP,JavaScript; Python,29677.41935
,13 to 14 years,U.S. dollars ($),C++; C#; JavaScript; PHP; SQL; TypeScript,C#; JavaScript; PHP; SQL; TypeScript; VB.NET,1.60E+04
,20 or more years,British pounds sterling (£),C#; JavaScript; Ruby,Swift; TypeScript,40625
,10 to 11 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,7 to 8 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,1 to 2 years,Indian rupees (?),Assembly; C; PHP; SQL,C; Java; PHP; Python; SQL,NA
,20 or more years,British pounds sterling (£),C#; F#; JavaScript; TypeScript,C#; F#; TypeScript,7.50E+04
,2 to 3 years,Euros (€),Java,Haskell,21505.37634
,7 to 8 years,Indian rupees (?),C; C++; C#; Ruby,C; C++; C#; Ruby,6695.052122
,14 to 15 years,NA,JavaScript; PHP; SQL,NA,NA
,15 to 16 years,British pounds sterling (£),C#; Scala,Common Lisp; Clojure; Elixir; Erlang; F#; Scala,56250
,2 to 3 years,Euros (€),JavaScript; PHP,Haskell; PHP,22580.64516
,14 to 15 years,NA,NA,NA,NA
,9 to 10 years,U.S. dollars ($),JavaScript; PHP; SQL,JavaScript; PHP; Ruby; SQL,1500
,14 to 15 years,NA,C#; SQL,C#; SQL,NA
,12 to 13 years,NA,NA,NA,NA
,19 to 20 years,NA,NA,NA,NA
,1 to 2 years,Russian rubles (?),PHP,NA,NA
,8 to 9 years,NA,Ruby,Elixir; Go; Python; Ruby,NA
,15 to 16 years,Euros (€),C; C++; C#; JavaScript; SQL; TypeScript,C; C++; C#; JavaScript; R; SQL; TypeScript,37634.4086
,3 to 4 years,Euros (€),Java; JavaScript; Python; SQL,Java; JavaScript,NA
,13 to 14 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,9 to 10 years,NA,C#; Java; PHP; SQL,NA,NA
,12 to 13 years,British pounds sterling (£),Python,Python,NA
,4 to 5 years,NA,NA,NA,NA
,10 to 11 years,NA,Java; JavaScript; Python,JavaScript; Python,NA
,NA,Polish zloty (zl),Java; JavaScript,C; C++; Java; JavaScript; Python; Ruby; SQL,NA
,11 to 12 years,NA,NA,NA,NA
,11 to 12 years,NA,Objective-C; Swift,Python; Rust,25841.81676
,20 or more years,British pounds sterling (£),JavaScript; Perl,Perl,NA
,20 or more years,NA,C; C++; C#; JavaScript; Ruby; SQL,R,NA
,20 or more years,British pounds sterling (£),NA,NA,NA
,7 to 8 years,U.S. dollars ($),C; Go,C++; Lua; Rust,1.06E+05
,3 to 4 years,Canadian dollars (C$),C++; JavaScript,C++; JavaScript,NA
,7 to 8 years,Swedish kroner (SEK),C#; SQL,C++; C#; SQL,NA
,19 to 20 years,Indian rupees (?),Java,Swift,NA
,5 to 6 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,3 to 4 years,Indian rupees (?),C; C++; JavaScript; Python; SQL,C; C++; Go; JavaScript; Objective-C; Python; SQL,NA
,20 or more years,Euros (€),C#; Java; JavaScript; Perl; PHP; SQL; VB.NET,NA,53763.44086
,6 to 7 years,British pounds sterling (£),C++; C#; Java; Python,C++; C#; Java; JavaScript; Python,2.50E+04
,2 to 3 years,NA,NA,NA,NA
,8 to 9 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),C; C++; Groovy; Perl; Python,C; Perl; Python,NA
,5 to 6 years,NA,C; C++; Java; Matlab,Assembly; C; C++; Python,NA
,20 or more years,NA,NA,NA,NA
,13 to 14 years,Swedish kroner (SEK),C#; JavaScript; PHP; SQL,C#; JavaScript; SQL; TypeScript,NA
,5 to 6 years,Euros (€),C#; JavaScript; PHP,C++; C#; Python,NA
,1 to 2 years,NA,NA,NA,NA
,10 to 11 years,Euros (€),Assembly; C; C++; Lua; Matlab; Python; SQL,C; C++; Matlab; Python,NA
,11 to 12 years,NA,C; C++; Haskell; Java; JavaScript; Python; SQL,Scala,NA
,10 to 11 years,NA,Elixir; JavaScript; PHP; Ruby; SQL,Elixir; Erlang; JavaScript; PHP; Ruby; Rust,4558.404558
,8 to 9 years,NA,NA,NA,NA
,4 to 5 years,NA,NA,NA,NA
,1 to 2 years,Polish zloty (zl),NA,NA,NA
,7 to 8 years,U.S. dollars ($),Java; JavaScript,Java; JavaScript; TypeScript,113500
,10 to 11 years,Euros (€),C#; Java,C#; Java; Swift,18064.51613
,18 to 19 years,NA,Java; Python,Java; Python; Swift,NA
,1 to 2 years,NA,NA,NA,NA
,5 to 6 years,NA,NA,NA,NA
,8 to 9 years,NA,NA,NA,NA
,2 to 3 years,NA,Ruby,NA,NA
,3 to 4 years,Brazilian reais (R$),C#; Java; JavaScript; PHP; SQL; VB.NET,C#; Java; JavaScript; SQL; Swift,NA
,3 to 4 years,NA,NA,NA,NA
,Less than a year,NA,NA,NA,NA
,20 or more years,NA,C++; Go; JavaScript; Perl,Haskell; Scala,NA
,18 to 19 years,NA,JavaScript; Perl; PHP; Python,Go; Rust,NA
,14 to 15 years,NA,NA,NA,NA
,20 or more years,NA,NA,NA,NA
,7 to 8 years,British pounds sterling (£),Clojure; Go; JavaScript; Ruby; SQL,Clojure; Elixir; JavaScript; Rust,65625
,14 to 15 years,Euros (€),Java; Python; SQL,Elixir; Erlang; Java; Python; SQL,43010.75269
,3 to 4 years,NA,JavaScript; PHP; SQL,NA,NA
,7 to 8 years,NA,C++; Java; JavaScript; Python; Scala,Java; JavaScript; Python; Scala,NA
,14 to 15 years,Euros (€),Assembly; C; C++; Groovy; Java; JavaScript; SQL,C; JavaScript; Lua; Python,49462.36559
,2 to 3 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,10 to 11 years,NA,Groovy; Java; JavaScript; SQL,Groovy; Java; JavaScript; TypeScript,19834.71074
,20 or more years,NA,NA,NA,NA
,19 to 20 years,Canadian dollars (C$),Java; JavaScript; Objective-C; Python; SQL,NA,90909.09091
,5 to 6 years,Euros (€),C#; Java; Python,C++; C#; Go; Java; Python,NA
,10 to 11 years,Euros (€),C#; JavaScript; VB.NET,C#; JavaScript,NA
,8 to 9 years,Euros (€),Groovy; Java; JavaScript; PHP; SQL,Python; Ruby; Rust; Scala,64516.12903
,5 to 6 years,Euros (€),C++; C#; Java; JavaScript; Perl; Python; Ruby; Rust; SQL,C++; C#; JavaScript; Perl; Python; Rust,33333.33333
,2 to 3 years,U.S. dollars ($),JavaScript; Ruby; SQL,Go; JavaScript; SQL; TypeScript,4.50E+04
,2 to 3 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,19 to 20 years,Japanese yen (¥),NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,1 to 2 years,U.S. dollars ($),JavaScript; SQL,JavaScript,85200
,12 to 13 years,Russian rubles (?),C#; JavaScript; TypeScript,C#; Python; TypeScript,NA
,3 to 4 years,NA,NA,NA,NA
,20 or more years,U.S. dollars ($),C#; Go; Java; JavaScript; Objective-C; Python; Ruby,C#; Elixir; JavaScript,1.00E+05
,7 to 8 years,Swedish kroner (SEK),C; C#; Java; JavaScript,C; C++; C#; Swift,48054.29864
,5 to 6 years,NA,NA,NA,NA
,3 to 4 years,NA,NA,NA,NA
,14 to 15 years,NA,C#; JavaScript,JavaScript,NA
,NA,NA,NA,NA,NA
,2 to 3 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,15 to 16 years,U.S. dollars ($),C#; JavaScript; PHP; SQL; VBA,Assembly; C; C++; C#; CoffeeScript; Common Lisp; F#; JavaScript; SQL; TypeScript,88400
,5 to 6 years,Euros (€),JavaScript,C++; Haskell; Java; PHP,16129.03226
,9 to 10 years,NA,C; C++; Java; JavaScript; PHP; SQL,Go; Java; JavaScript; Ruby,NA
,3 to 4 years,NA,NA,NA,NA
,11 to 12 years,Euros (€),C#; F#; JavaScript; SQL,C#; F#; JavaScript; R; SQL; TypeScript,NA
,7 to 8 years,Australian dollars (A$),Java; JavaScript; Swift,C; C++,60606.06061
,20 or more years,British pounds sterling (£),C#,NA,7.50E+04
,2 to 3 years,NA,C#; JavaScript; PHP; SQL; VB.NET,Erlang; Ruby,NA
,20 or more years,U.S. dollars ($),C#,C#; F#; TypeScript,91707
,7 to 8 years,Euros (€),JavaScript; Objective-C; Swift,C; C++; Objective-C; Swift,NA
,7 to 8 years,Russian rubles (?),NA,NA,1253.132832
,13 to 14 years,NA,NA,NA,NA
,20 or more years,British pounds sterling (£),C#; JavaScript; SQL; TypeScript,C#; JavaScript; SQL; TypeScript,NA
,1 to 2 years,Swiss francs,C; C++; Java; JavaScript; PHP; SQL,NA,NA
,19 to 20 years,NA,NA,NA,NA
,8 to 9 years,NA,JavaScript,JavaScript,NA
,20 or more years,NA,C#; Java; JavaScript; SQL; VB.NET; Visual Basic 6,C; C#; Java; JavaScript; SQL; TypeScript,NA
,2 to 3 years,Euros (€),Java; JavaScript; Python; SQL,C#; Java; JavaScript; Python; Rust; SQL,NA
,2 to 3 years,NA,C; C++; JavaScript; TypeScript,Go; Haskell; Julia; Lua; Python,NA
,20 or more years,Swedish kroner (SEK),C#; JavaScript; Python; SQL; TypeScript; Visual Basic 6,C#; JavaScript; SQL; TypeScript,NA
,2 to 3 years,NA,NA,NA,NA
,6 to 7 years,NA,NA,NA,NA
,1 to 2 years,NA,NA,NA,NA
,20 or more years,NA,Smalltalk,Smalltalk,NA
,5 to 6 years,Brazilian reais (R$),Clojure; JavaScript; Lua; PHP; SQL,Clojure; Elixir; JavaScript; Rust; SQL,3821.656051
,6 to 7 years,NA,NA,NA,NA
,8 to 9 years,U.S. dollars ($),C#; JavaScript; SQL,JavaScript; SQL,5.40E+04
,4 to 5 years,Indian rupees (?),C,C,10277.49229
,6 to 7 years,Euros (€),C; C#; Haskell; Java,Assembly; C; Haskell,NA
,16 to 17 years,Euros (€),Assembly; C; C++; Java; Python,Assembly; C; C++; Python,41290.32258
,3 to 4 years,NA,C++; JavaScript,C++; Java; JavaScript,NA
,4 to 5 years,NA,JavaScript; PHP,Java,NA
,6 to 7 years,U.S. dollars ($),C#; JavaScript; SQL,C; C++; Clojure; JavaScript; Python,4.60E+04
,3 to 4 years,Euros (€),Java; SQL,Java; SQL,36021.50538
,6 to 7 years,Euros (€),Java; Python; Scala; SQL,Java; Python; Scala; Swift,72043.01075
,7 to 8 years,U.S. dollars ($),C; C++; Python,C; C++; JavaScript; Python; Rust,1.01E+05
,12 to 13 years,NA,Elixir; Erlang,C++; Java; Scala,NA
,9 to 10 years,U.S. dollars ($),Go; JavaScript,Go; JavaScript; Python; Swift,1.00E+05
,16 to 17 years,NA,C#; Java; JavaScript; SQL; TypeScript,NA,NA
